"Name","Description","VIVIENDA_VANCAN_2016","LONGITUDE","LATITUDE","geometry"
"1.1.42-6","",0.6667,"-71.5046514502769","-16.3690022396256",c(-71.5046514502769, -16.3690022396256)
"1.1.42-7","",1,"-71.5045541138158","-16.368711738742",c(-71.5045541138158, -16.368711738742)
"1.1.42-8","",1,"-71.5048730706147","-16.3685288996161",c(-71.5048730706147, -16.3685288996161)
"1.1.42-9","",0.625,"-71.5042308612528","-16.3684215451336",c(-71.5042308612528, -16.3684215451336)
"1.1.44-1","",0.2857,"-71.5032930285026","-16.3702388876956",c(-71.5032930285026, -16.3702388876956)
"1.1.45-1","",0.6667,"-71.4995126209369","-16.3690534120027",c(-71.4995126209369, -16.3690534120027)
"1.1.45-2","",1,"-71.4977738457482","-16.3681654721933",c(-71.4977738457482, -16.3681654721933)
"1.1.45-3","",0.6667,"-71.4966326912009","-16.3671887733892",c(-71.4966326912009, -16.3671887733892)
"1.1.45-4","",1,"-71.4960438061763","-16.3666632843",c(-71.4960438061763, -16.3666632843)
"1.1.45-5","",0.6667,"-71.4952629098995","-16.3663961383587",c(-71.4952629098995, -16.3663961383587)
"1.1.45-6","",0.6,"-71.4934741416295","-16.3654394741241",c(-71.4934741416295, -16.3654394741241)
"1.1.7-1","",0.3571,"-71.5244983904106","-16.3806598446921",c(-71.5244983904106, -16.3806598446921)
"1.1.7-2","",0.5385,"-71.5254203443115","-16.3804704241238",c(-71.5254203443115, -16.3804704241238)
"1.1.7-3","",0.5,"-71.5251097189209","-16.3802515044408",c(-71.5251097189209, -16.3802515044408)
"1.1.7-4","",0.625,"-71.5247830299287","-16.3800394988469",c(-71.5247830299287, -16.3800394988469)
"1.1.7-5","",1,"-71.5246925361752","-16.3797171932195",c(-71.5246925361752, -16.3797171932195)
"1.1.7-6","",0.6667,"-71.5241678511451","-16.3798940219182",c(-71.5241678511451, -16.3798940219182)
"1.1.71-1","",0.6923,"-71.5162245925481","-16.3658712900413",c(-71.5162245925481, -16.3658712900413)
"1.1.71-10","",0.6,"-71.5143564467066","-16.3630874098893",c(-71.5143564467066, -16.3630874098893)
"1.1.71-11","",0.5,"-71.5145251445343","-16.3637011073449",c(-71.5145251445343, -16.3637011073449)
"1.1.71-12","",0.5,"-71.5144816896216","-16.3641105319457",c(-71.5144816896216, -16.3641105319457)
"1.1.71-2","",0.6364,"-71.5158202927124","-16.3655964022657",c(-71.5158202927124, -16.3655964022657)
"1.1.71-3","",0.6667,"-71.5154185417363","-16.3653182111165",c(-71.5154185417363, -16.3653182111165)
"1.1.71-4","",0.8333,"-71.5149575573359","-16.3649923112487",c(-71.5149575573359, -16.3649923112487)
"1.1.71-5","",0.6667,"-71.5153022743656","-16.3639006052625",c(-71.5153022743656, -16.3639006052625)
"1.1.71-6","",0.5,"-71.5154760259017","-16.363099772291",c(-71.5154760259017, -16.363099772291)
"1.1.71-7","",0.6667,"-71.5149365887848","-16.3629869677668",c(-71.5149365887848, -16.3629869677668)
"1.1.71-8","",1,"-71.514553234134","-16.3628452507165",c(-71.514553234134, -16.3628452507165)
"1.1.71-9","",0.5,"-71.5142616156525","-16.3626677529492",c(-71.5142616156525, -16.3626677529492)
"1.1.77-1","",0.5556,"-71.5280213058731","-16.3731393724297",c(-71.5280213058731, -16.3731393724297)
"1.1.77-10","",0.7333,"-71.5248352568979","-16.3714774678068",c(-71.5248352568979, -16.3714774678068)
"1.1.77-11","",0.4286,"-71.5254251156607","-16.3719480248895",c(-71.5254251156607, -16.3719480248895)
"1.1.77-12","",0.8571,"-71.5245847001315","-16.371754538175",c(-71.5245847001315, -16.371754538175)
"1.1.77-2","",0.4091,"-71.5272677264561","-16.3726883000421",c(-71.5272677264561, -16.3726883000421)
"1.1.77-3","",0.4286,"-71.5270438669266","-16.3729225431366",c(-71.5270438669266, -16.3729225431366)
"1.1.77-4","",0,"-71.5266572078417","-16.3724016821484",c(-71.5266572078417, -16.3724016821484)
"1.1.77-5","",0.75,"-71.5260997385559","-16.371957073817",c(-71.5260997385559, -16.371957073817)
"1.1.77-6","",1,"-71.5257393254415","-16.3715564201036",c(-71.5257393254415, -16.3715564201036)
"1.1.77-7","",0.5789,"-71.5264037617221","-16.3715428200499",c(-71.5264037617221, -16.3715428200499)
"1.1.77-8","",0.4667,"-71.5254866717735","-16.3706772250645",c(-71.5254866717735, -16.3706772250645)
"1.1.77-9","",0.6923,"-71.5249177037825","-16.3710109685939",c(-71.5249177037825, -16.3710109685939)
"1.1.78-1","",0.9,"-71.5275191116338","-16.3722462957041",c(-71.5275191116338, -16.3722462957041)
"1.1.78-10","",0.7273,"-71.5240999854824","-16.3683431146931",c(-71.5240999854824, -16.3683431146931)
"1.1.78-11","",0.6667,"-71.5233703644873","-16.3679228996852",c(-71.5233703644873, -16.3679228996852)
