type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.1.1-19;-16.3850419;-71.51715902;8186805.863;231133.7848;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-19;-16.3848854;-71.51702148;8186823.371;231148.2682;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-19;-16.38449045;-71.51671984;8186867.496;231179.9635;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-19;-16.38425708;-71.51679787;8186893.228;231171.3033;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-19;-16.38406047;-71.51694721;8186914.797;231155.0736;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-19;-16.3841708;-71.51708791;8186902.396;231140.1881;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-19;-16.38442489;-71.51741539;8186873.832;231105.5389;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-19;-16.38476927;-71.517846;8186835.135;231059.9913;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-19;-16.3852167;-71.51844368;8186784.808;230996.7314;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-19;-16.385044;-71.51861855;8186803.696;230977.8054;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-19;-16.38529991;-71.51895814;8186774.914;230941.8644;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-19;-16.38557779;-71.51931095;8186743.682;230904.5402;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-19;-16.38570302;-71.51949211;8186729.578;230885.3522;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-19;-16.38597671;-71.51986082;8186698.789;230846.3235;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-19;-16.38610034;-71.51976852;8186685.224;230856.3575;False; ; ;0; ; ; ; ; ; 
